idx,label,origin_path
0,1,括约肌测试集\前瞻性测试集\非标准\68.bmp
1,0,括约肌测试集\前瞻性测试集\标准\10.bmp
2,0,括约肌测试集\前瞻性测试集\标准\11.bmp
3,1,括约肌测试集\前瞻性测试集\非标准\220.bmp
4,0,括约肌测试集\前瞻性测试集\标准\162.bmp
5,0,括约肌测试集\前瞻性测试集\标准\5.bmp
6,1,括约肌测试集\前瞻性测试集\非标准\204.bmp
7,1,括约肌测试集\前瞻性测试集\非标准\186.bmp
8,1,括约肌测试集\前瞻性测试集\非标准\230.bmp
9,0,括约肌测试集\前瞻性测试集\标准\205.bmp
10,1,括约肌测试集\前瞻性测试集\非标准\178.bmp
11,1,括约肌测试集\前瞻性测试集\非标准\199.bmp
12,1,括约肌测试集\前瞻性测试集\非标准\3.bmp
13,0,括约肌测试集\前瞻性测试集\标准\217.bmp
14,1,括约肌测试集\前瞻性测试集\非标准\145.bmp
15,0,括约肌测试集\前瞻性测试集\标准\46.bmp
16,0,括约肌测试集\前瞻性测试集\标准\245.bmp
17,1,括约肌测试集\前瞻性测试集\非标准\217.bmp
18,1,括约肌测试集\前瞻性测试集\非标准\191.bmp
19,0,括约肌测试集\前瞻性测试集\标准\199.bmp
20,0,括约肌测试集\前瞻性测试集\标准\151.bmp
21,1,括约肌测试集\前瞻性测试集\非标准\57.bmp
22,0,括约肌测试集\前瞻性测试集\标准\209.bmp
23,1,括约肌测试集\前瞻性测试集\非标准\235.bmp
24,1,括约肌测试集\前瞻性测试集\非标准\187.bmp
25,1,括约肌测试集\前瞻性测试集\非标准\144.bmp
26,0,括约肌测试集\前瞻性测试集\标准\156.bmp
27,1,括约肌测试集\前瞻性测试集\非标准\29.bmp
28,1,括约肌测试集\前瞻性测试集\非标准\200.bmp
29,1,括约肌测试集\前瞻性测试集\非标准\17.bmp
30,0,括约肌测试集\前瞻性测试集\标准\234.bmp
31,1,括约肌测试集\前瞻性测试集\非标准\240.bmp
32,0,括约肌测试集\前瞻性测试集\标准\180.bmp
33,0,括约肌测试集\前瞻性测试集\标准\218.bmp
34,0,括约肌测试集\前瞻性测试集\标准\227.bmp
35,1,括约肌测试集\前瞻性测试集\非标准\201.bmp
36,1,括约肌测试集\前瞻性测试集\非标准\173.bmp
37,1,括约肌测试集\前瞻性测试集\非标准\251.bmp
38,0,括约肌测试集\前瞻性测试集\标准\194.bmp
39,0,括约肌测试集\前瞻性测试集\标准\166.bmp
40,1,括约肌测试集\前瞻性测试集\非标准\36.bmp
41,0,括约肌测试集\前瞻性测试集\标准\142.bmp
42,0,括约肌测试集\前瞻性测试集\标准\191.bmp
43,0,括约肌测试集\前瞻性测试集\标准\2.bmp
44,1,括约肌测试集\前瞻性测试集\非标准\231.bmp
45,0,括约肌测试集\前瞻性测试集\标准\184.bmp
46,1,括约肌测试集\前瞻性测试集\非标准\4.bmp
47,1,括约肌测试集\前瞻性测试集\非标准\194.bmp
48,1,括约肌测试集\前瞻性测试集\非标准\51.bmp
49,0,括约肌测试集\前瞻性测试集\标准\143.bmp
50,1,括约肌测试集\前瞻性测试集\非标准\241.bmp
51,0,括约肌测试集\前瞻性测试集\标准\222.bmp
