idx,label,origin_path
0,0,括约肌测试集\湖南测试集\标准\47.bmp
1,1,括约肌测试集\湖南测试集\非标准\53.bmp
2,0,括约肌测试集\湖南测试集\标准\104.bmp
3,0,括约肌测试集\湖南测试集\标准\102.bmp
4,0,括约肌测试集\湖南测试集\标准\160.bmp
5,1,括约肌测试集\湖南测试集\非标准\98.bmp
6,1,括约肌测试集\湖南测试集\非标准\254.bmp
7,1,括约肌测试集\湖南测试集\非标准\181.bmp
8,0,括约肌测试集\湖南测试集\标准\124.bmp
9,1,括约肌测试集\湖南测试集\非标准\208.bmp
10,1,括约肌测试集\湖南测试集\非标准\259.bmp
11,1,括约肌测试集\湖南测试集\非标准\14.bmp
12,1,括约肌测试集\湖南测试集\非标准\57.bmp
13,0,括约肌测试集\湖南测试集\标准\155.bmp
14,1,括约肌测试集\湖南测试集\非标准\91.bmp
15,0,括约肌测试集\湖南测试集\标准\125.bmp
16,0,括约肌测试集\湖南测试集\标准\131.bmp
17,0,括约肌测试集\湖南测试集\标准\7.bmp
18,1,括约肌测试集\湖南测试集\非标准\145.bmp
19,1,括约肌测试集\湖南测试集\非标准\256.bmp
20,0,括约肌测试集\湖南测试集\标准\175.bmp
21,1,括约肌测试集\湖南测试集\非标准\194.bmp
22,1,括约肌测试集\湖南测试集\非标准\69.bmp
23,0,括约肌测试集\湖南测试集\标准\41.bmp
24,0,括约肌测试集\湖南测试集\标准\183.bmp
25,1,括约肌测试集\湖南测试集\非标准\146.bmp
26,0,括约肌测试集\湖南测试集\标准\31.bmp
27,1,括约肌测试集\湖南测试集\非标准\27.bmp
28,0,括约肌测试集\湖南测试集\标准\35.bmp
29,1,括约肌测试集\湖南测试集\非标准\221.bmp
30,0,括约肌测试集\湖南测试集\标准\22.bmp
31,1,括约肌测试集\湖南测试集\非标准\189.bmp
32,1,括约肌测试集\湖南测试集\非标准\154.bmp
33,0,括约肌测试集\湖南测试集\标准\190.bmp
34,0,括约肌测试集\湖南测试集\标准\99.bmp
35,1,括约肌测试集\湖南测试集\非标准\41.bmp
36,1,括约肌测试集\湖南测试集\非标准\101.bmp
37,0,括约肌测试集\湖南测试集\标准\28.bmp
38,0,括约肌测试集\湖南测试集\标准\91.bmp
39,0,括约肌测试集\湖南测试集\标准\188.bmp
40,1,括约肌测试集\湖南测试集\非标准\13.bmp
41,0,括约肌测试集\湖南测试集\标准\93.bmp
42,0,括约肌测试集\湖南测试集\标准\85.bmp
43,0,括约肌测试集\湖南测试集\标准\33.bmp
44,1,括约肌测试集\湖南测试集\非标准\215.bmp
45,1,括约肌测试集\湖南测试集\非标准\166.bmp
46,0,括约肌测试集\湖南测试集\标准\158.bmp
47,1,括约肌测试集\湖南测试集\非标准\153.bmp
48,1,括约肌测试集\湖南测试集\非标准\213.bmp
49,0,括约肌测试集\湖南测试集\标准\148.bmp
50,0,括约肌测试集\湖南测试集\标准\161.bmp
51,1,括约肌测试集\湖南测试集\非标准\228.bmp
52,1,括约肌测试集\湖南测试集\非标准\234.bmp
53,1,括约肌测试集\湖南测试集\非标准\218.bmp
54,0,括约肌测试集\湖南测试集\标准\173.bmp
55,0,括约肌测试集\湖南测试集\标准\118.bmp
56,0,括约肌测试集\湖南测试集\标准\63.bmp
57,1,括约肌测试集\湖南测试集\非标准\230.bmp
58,0,括约肌测试集\湖南测试集\标准\50.bmp
59,1,括约肌测试集\湖南测试集\非标准\171.bmp
60,1,括约肌测试集\湖南测试集\非标准\165.bmp
61,1,括约肌测试集\湖南测试集\非标准\45.bmp
62,1,括约肌测试集\湖南测试集\非标准\235.bmp
63,1,括约肌测试集\湖南测试集\非标准\198.bmp
64,0,括约肌测试集\湖南测试集\标准\119.bmp
65,1,括约肌测试集\湖南测试集\非标准\214.bmp
66,1,括约肌测试集\湖南测试集\非标准\253.bmp
67,0,括约肌测试集\湖南测试集\标准\151.bmp
68,1,括约肌测试集\湖南测试集\非标准\193.bmp
69,1,括约肌测试集\湖南测试集\非标准\63.bmp
70,1,括约肌测试集\湖南测试集\非标准\160.bmp
71,0,括约肌测试集\湖南测试集\标准\42.bmp
72,1,括约肌测试集\湖南测试集\非标准\103.bmp
73,0,括约肌测试集\湖南测试集\标准\67.bmp
74,0,括约肌测试集\湖南测试集\标准\122.bmp
75,1,括约肌测试集\湖南测试集\非标准\226.bmp
76,1,括约肌测试集\湖南测试集\非标准\173.bmp
77,1,括约肌测试集\湖南测试集\非标准\245.bmp
78,1,括约肌测试集\湖南测试集\非标准\100.bmp
79,1,括约肌测试集\湖南测试集\非标准\38.bmp
80,1,括约肌测试集\湖南测试集\非标准\252.bmp
81,0,括约肌测试集\湖南测试集\标准\95.bmp
82,0,括约肌测试集\湖南测试集\标准\92.bmp
83,1,括约肌测试集\湖南测试集\非标准\167.bmp
84,1,括约肌测试集\湖南测试集\非标准\31.bmp
85,1,括约肌测试集\湖南测试集\非标准\92.bmp
86,1,括约肌测试集\湖南测试集\非标准\164.bmp
87,0,括约肌测试集\湖南测试集\标准\198.bmp
88,0,括约肌测试集\湖南测试集\标准\100.bmp
89,1,括约肌测试集\湖南测试集\非标准\21.bmp
90,0,括约肌测试集\湖南测试集\标准\171.bmp
91,1,括约肌测试集\湖南测试集\非标准\60.bmp
92,0,括约肌测试集\湖南测试集\标准\153.bmp
93,0,括约肌测试集\湖南测试集\标准\192.bmp
